Steps,Episode reward,Episode number
1800603,590,1
1801650,1220,2
1802433,610,3
1803203,770,4
1803829,350,5
1804750,890,6
1805345,420,7
1806054,500,8
1806509,220,9
1806927,250,10
1807382,230,11
1807853,320,12
1808553,500,13
1809244,480,14
1809941,410,15
1811407,1430,16
1812680,880,17
1813420,1850,18
1813899,380,19
1814341,290,20
1815006,720,21
1816210,810,22
1816646,380,23
1817181,390,24
1817981,330,25
1818562,130,26
1818989,270,27
1819524,500,28
1820242,440,29
1820843,270,30
1821637,500,31
1822231,480,32
1822706,220,33
1823153,230,34
1823753,410,35
1824153,290,36
1825003,460,37
1825693,500,38
1826279,390,39
1826638,250,40
1827462,770,41
1828025,200,42
1828788,570,43
1829342,290,44
1829793,120,45
1830442,210,46
1830880,310,47
1831519,390,48
1832455,570,49
1832883,320,50
1833551,500,51
1834149,310,52
1834623,160,53
1835054,190,54
1835557,340,55
1836741,780,56
1837617,530,57
1838424,800,58
1839106,600,59
1839819,710,60
1840645,390,61
1841246,370,62
1842235,470,63
1842766,200,64
1843265,310,65
1843826,290,66
1844860,390,67
1845641,640,68
1846296,510,69
1847177,790,70
1847772,450,71
1848402,350,72
1848947,410,73
1849576,390,74
1850340,400,75
1851224,320,76
1851846,540,77
1852260,220,78
1852886,620,79
1853436,470,80
1854136,440,81
1854511,180,82
1854974,290,83
1855566,210,84
1856030,280,85
1856709,330,86
1857220,310,87
1857801,510,88
1858256,260,89
1858869,170,90
1860068,840,91
1860558,270,92
1861402,910,93
1862571,1240,94
1863258,300,95
1863898,270,96
1864444,160,97
1865475,1370,98
1865927,400,99
1866401,260,100
1867112,520,101
1868350,900,102
1868808,460,103
1869744,450,104
1871005,2230,105
1871850,450,106
1872610,680,107
1873306,270,108
1874444,530,109
1875218,490,110
1875672,290,111
1876675,860,112
1877235,280,113
1877922,490,114
1878376,300,115
1879542,610,116
1880592,650,117
1881498,660,118
1881978,210,119
1883204,440,120
1883722,390,121
1884205,180,122
1884744,380,123
1885222,350,124
1886003,460,125
1886662,400,126
1887221,380,127
1887660,300,128
1888288,1720,129
1888747,290,130
1889537,420,131
1890136,400,132
1891017,420,133
1891716,470,134
1892382,350,135
1893033,560,136
1894053,490,137
1894749,440,138
1895278,300,139
1895828,170,140
1896427,470,141
1897235,670,142
1898442,780,143
1898984,350,144
1899711,500,145
1900292,220,146
1901048,610,147
1901506,270,148
1902338,450,149
1902856,370,150
1903411,260,151
1904484,1230,152
1905167,840,153
1906296,1750,154
1906881,420,155
1907508,310,156
1908052,330,157
1909035,530,158
1909450,170,159
1909952,260,160
1910574,350,161
1911308,770,162
1911863,240,163
1912814,500,164
1913494,630,165
1914355,730,166
1914921,330,167
1915555,440,168
1916808,620,169
1917878,620,170
1918543,440,171
1919150,210,172
1920437,2200,173
1921373,1190,174
1922016,330,175
1922523,290,176
1923075,320,177
1923776,360,178
1924427,350,179
1924945,240,180
1926127,730,181
1926893,240,182
1927540,210,183
1928271,320,184
1928869,410,185
1929270,140,186
1929800,260,187
1930577,300,188
1932370,710,189
1933008,230,190
1933781,260,191
1935132,660,192
1935553,320,193
1936004,280,194
1936619,350,195
1937445,580,196
1938373,690,197
1938986,470,198
1939613,300,199
1940160,420,200
1940644,360,201
1941424,660,202
1942116,500,203
1942802,530,204
1943618,320,205
1944199,280,206
1945206,1510,207
1945917,390,208
1946506,220,209
1947486,730,210
1948368,710,211
1949054,350,212
1949833,750,213
1950717,1510,214
1951370,320,215
1952038,670,216
1952802,460,217
1953396,290,218
1954232,690,219
1954841,360,220
1955484,330,221
1956191,550,222
1957439,1180,223
1958365,1110,224
1959131,580,225
1960085,630,226
1960992,660,227
1961698,560,228
1962664,860,229
1963227,290,230
1964211,1000,231
1965151,800,232
1965822,360,233
1966890,560,234
1967559,500,235
1968231,270,236
1969186,760,237
1969731,280,238
1970327,510,239
1971784,1300,240
1972492,310,241
1973309,480,242
1973733,290,243
1974579,770,244
1975916,1070,245
1976300,180,246
1976719,280,247
1977332,550,248
1978474,790,249
1979107,370,250
1979649,320,251
1980600,590,252
1981120,220,253
1981598,340,254
1982113,290,255
1982574,190,256
1983122,310,257
1983620,220,258
1984126,380,259
1984669,180,260
1985358,550,261
1986617,950,262
1987388,780,263
1988154,390,264
1988651,200,265
1989049,230,266
1989394,220,267
1989682,110,268
1990245,370,269
1990890,460,270
1991533,600,271
1992206,520,272
1992680,250,273
1993388,600,274
1994724,1300,275
1995424,420,276
1995902,360,277
1996232,160,278
1996883,470,279
1997724,700,280
1998452,680,281
1998868,90,282
1999399,370,283
2000625,750,284
2001067,270,285
2002196,720,286
2002845,420,287
2003190,160,288
2003709,380,289
2004102,190,290
2004524,210,291
2004951,290,292
2005537,420,293
2006060,350,294
2006707,650,295
2007212,280,296
2007969,600,297
2008736,360,298
2009148,190,299
2009469,190,300
2010025,350,301
2010680,490,302
2011169,380,303
2011929,550,304
2012773,640,305
2013134,240,306
2013831,450,307
2015109,1230,308
2015917,650,309
2016933,950,310
2017393,290,311
2018458,1590,312
2018967,370,313
2019452,280,314
2020060,260,315
2020626,230,316
2021377,630,317
2022486,390,318
2022939,320,319
2023388,340,320
2023876,220,321
2024589,460,322
2025154,410,323
2025675,310,324
2026088,230,325
2026481,230,326
2027115,460,327
2027805,500,328
2028448,240,329
2028770,110,330
2029902,970,331
2030677,250,332
2031075,200,333
2031585,310,334
2032125,350,335
2032704,400,336
2033672,990,337
2034448,480,338
2034973,380,339
2036310,760,340
2036732,250,341
2037400,400,342
2038064,520,343
2038744,590,344
2039254,410,345
2039742,410,346
2040305,350,347
2041006,730,348
2041658,550,349
2042056,250,350
2042581,410,351
2043128,380,352
2043547,360,353
2044234,370,354
2045088,550,355
2045577,290,356
2046097,300,357
2046421,150,358
2046998,480,359
2047718,530,360
2048458,570,361
2048842,200,362
2049410,570,363
2049894,340,364
2050870,2330,365
2051439,400,366
2052239,560,367
2052833,510,368
2053232,290,369
2054070,930,370
2054973,880,371
2055532,400,372
2056494,2200,373
2056986,390,374
2057592,480,375
2058107,400,376
2058678,420,377
2059268,320,378
2059636,240,379
2060413,370,380
2060875,260,381
2061399,270,382
2062209,570,383
2062755,410,384
2063335,270,385
2064052,530,386
2064996,600,387
2066018,840,388
2066776,660,389
2067406,600,390
2067880,390,391
2068390,380,392
2068922,280,393
2070041,770,394
2070759,480,395
2071756,610,396
2072648,650,397
2073127,350,398
2074159,1190,399
2074767,370,400
2075458,540,401
2075869,260,402
2076442,470,403
2076954,410,404
2077650,530,405
2078330,580,406
2078795,180,407
2079898,1000,408
2080443,300,409
2080910,280,410
2081293,230,411
2081659,210,412
2082158,260,413
2082820,510,414
2083531,480,415
2083951,260,416
2084663,580,417
2085152,270,418
2085810,440,419
2086532,540,420
2086912,210,421
2087297,250,422
2088086,460,423
2088556,360,424
2089338,830,425
2090530,2440,426
2091099,300,427
2091745,520,428
2092123,280,429
2092678,400,430
2093265,390,431
2093997,500,432
2094969,1220,433
2095813,770,434
2096491,740,435
2097269,790,436
2097946,470,437
2098516,440,438
2098999,460,439
2099730,500,440
2100395,490,441
2100792,320,442
2101233,310,443
2102265,1070,444
2102991,300,445
2103796,900,446
2104245,340,447
2104954,370,448
2105488,310,449
2106367,720,450
2106995,940,451
2107499,310,452
2108017,430,453
2109370,1820,454
2110021,500,455
2110767,630,456
2111564,1190,457
2112363,560,458
2113166,680,459
2113855,750,460
2114451,210,461
2114994,350,462
2115574,190,463
2115969,140,464
2116737,610,465
2117120,190,466
2118217,1470,467
2119104,470,468
2119438,160,469
2119828,240,470
2120561,460,471
2120943,170,472
2121462,350,473
2122252,820,474
2122734,400,475
2123225,280,476
2124050,610,477
2124625,240,478
2125282,300,479
2125999,560,480
2127053,1290,481
2127983,690,482
2128874,650,483
2129414,320,484
2129979,250,485
2130776,540,486
2131699,880,487
2132572,590,488
2133073,320,489
2133693,680,490
2134444,820,491
2135342,820,492
2136305,780,493
2137449,1320,494
2137849,240,495
2138742,630,496
2139362,380,497
2139962,410,498
2140644,360,499
2141120,340,500